company_cd,rr_cd,company_name,company_name_k,company_name_h,company_name_r,company_url,company_type,e_status,e_sort
1,11,JR홋카이도,,北海道旅客鉄道株式会社,JR北海道,http://www.jrhokkaido.co.jp/,1,0,1
2,11,JR동일본,,東日本旅客鉄道株式会社,JR東日本,http://www.jreast.co.jp/,1,0,2
3,11,JR토카이,,東海旅客鉄道株式会社,JR東海,http://jr-central.co.jp/,1,0,3
4,11,JR서일본,,西日本旅客鉄道株式会社,JR西日本,http://www.westjr.co.jp/,1,0,4
5,11,JR시코쿠,,四国旅客鉄道株式会社,JR四国,http://www.jr-shikoku.co.jp/,1,0,5
6,11,JR큐슈,,九州旅客鉄道株式会社,JR九州,http://www.jrkyushu.co.jp/,1,0,6
11,21,토부철도,,東武鉄道株式会社,東武,http://www.tobu.co.jp/,2,0,11
12,22,세이부철도,,西武鉄道株式会社,西武,http://www.seibu-group.co.jp/railways/,2,0,12
13,23,케이세이전철,,京成電鉄株式会社,京成,http://www.keisei.co.jp/,2,0,13
14,24,케이오전철,,京王電鉄株式会社,京王,http://www.keio.co.jp/,2,0,14
15,25,오다큐전철,,小田急電鉄株式会社,小田急,http://www.odakyu.jp/,2,0,15
16,26,토큐전철,,東京急行電鉄株式会社,東急,http://www.tokyu.co.jp/,2,0,16
17,27,게이큐전철,,京浜急行電鉄株式会社,京急,http://www.keikyu.co.jp/,2,0,17
18,28,도쿄메트로,,東京地下鉄株式会社,東京メトロ,http://www.tokyometro.jp/,2,0,18
19,29,사가미철도,,相模鉄道株式会社,相鉄,http://www.sotetsu.co.jp/,2,0,19
20,30,나고야철도,,名古屋鉄道株式会社,名鉄,http://www.meitetsu.co.jp/,2,0,20
21,31,킨키일본철도,킨테쓰,近畿日本鉄道株式会社,近鉄,http://www.kintetsu.co.jp/,2,0,21
22,32,난카이전철,,南海電気鉄道株式会社,南海,http://www.nankai.co.jp/,2,0,22
23,33,케이한전철,,京阪電気鉄道株式会社,京阪,http://www.keihan.co.jp/,2,0,23
24,34,한큐전철,,阪急電鉄株式会社,阪急,http://rail.hankyu.co.jp/,2,0,24
25,35,한신전철,,阪神電気鉄道株式会社,阪神,http://rail.hanshin.co.jp/,2,0,25
26,36,서일본철도,,西日本鉄道株式会社,西鉄,http://www.nishitetsu.co.jp/,2,0,26
101,99,삿포로시교통국,,札幌市交通局,札幌市交通局,http://www.city.sapporo.jp/st/,0,0,101
